workload,workload_type,experiment,cpu_type,rob,issue_width,ipc,cpi,branch_count,branch_mispredict,branch_mispredict_rate,l1d_miss_rate,squashing_cycles,cost,stats_path
memory1,memory,rob_128,O3CPU,128.0,4.0,0.550838,1.815416,1737657.0,9618.0,0.005535039423775808,0.033381,9528.0,192.0,results/memory1/rob_128/stats.txt
memory1,memory,rob_192,O3CPU,192.0,4.0,0.551127,1.814464,1741790.0,9671.0,0.005552334093088145,0.033392,9594.0,256.0,results/memory1/rob_192/stats.txt
memory1,memory,rob_32,O3CPU,32.0,4.0,0.544882,1.835259,1693202.0,9446.0,0.005578779141531843,0.031911,9254.0,96.0,results/memory1/rob_32/stats.txt
memory1,memory,rob_64,O3CPU,64.0,4.0,0.550185,1.817571,1710153.0,9528.0,0.005571431328074155,0.033192,9394.0,128.0,results/memory1/rob_64/stats.txt
memory2,memory,baseline_o3,O3CPU,128.0,4.0,1.339619,0.746481,919809.0,3239.0,0.0035213832436951586,0.038855,3276.0,192.0,results/memory2/baseline_o3/stats.txt
memory2,memory,baseline_timing,TimingSimpleCPU,,,0.260852,3.833597,,,,0.016022,,,results/memory2/baseline_timing/stats.txt
memory2,memory,issue_2,O3CPU,128.0,2.0,0.93821,1.06586,922783.0,3087.0,0.003345315204116244,0.02548,3095.0,160.0,results/memory2/issue_2/stats.txt
memory2,memory,issue_4,O3CPU,128.0,4.0,1.345175,0.743398,920901.0,3213.0,0.0034889743848687317,0.038113,3252.0,192.0,results/memory2/issue_4/stats.txt
memory2,memory,issue_6,O3CPU,128.0,6.0,1.347455,0.74214,919827.0,3233.0,0.0035147913683768795,0.038842,3270.0,224.0,results/memory2/issue_6/stats.txt
memory2,memory,issue_8,O3CPU,128.0,8.0,1.339619,0.746481,919809.0,3239.0,0.0035213832436951586,0.038855,3276.0,256.0,results/memory2/issue_8/stats.txt
memory2,memory,rob_128,O3CPU,128.0,4.0,1.344232,0.743919,917669.0,3187.0,0.003472929781871241,0.037455,3213.0,192.0,results/memory2/rob_128/stats.txt
memory2,memory,rob_192,O3CPU,192.0,4.0,1.339619,0.746481,919809.0,3239.0,0.0035213832436951586,0.038855,3276.0,256.0,results/memory2/rob_192/stats.txt
memory2,memory,rob_32,O3CPU,32.0,4.0,1.140057,0.877149,914614.0,3011.0,0.0032920991806379522,0.033606,2943.0,96.0,results/memory2/rob_32/stats.txt
memory2,memory,rob_64,O3CPU,64.0,4.0,1.312908,0.761668,915460.0,3098.0,0.0033840910580473205,0.034799,3066.0,128.0,results/memory2/rob_64/stats.txt
